 name, category,description, lat,lng
 Близнак, fortress,,42.15139,27.30472
 Варовник, fortress,,42.20528,27.25333
 Вършец, fortress,,43.17889,23.28278
 Голямо градище, fortress,,41.96556,27.48944
 Гранитово, fortress,,42.09806,26.53306
 Девинска крепост Калето, fortress,,41.74833,24.34917
 Динево, fortress,,41.89278,25.71000
 Долна Кабда, fortress,,43.24139,26.35139
 Драгана, fortress,,43.17639,24.39750
 Елена, fortress,,42.92417,25.89194
 Заберново, fortress,,42.10194,27.56222
 Зидарово, fortress,,42.32528,27.40583
 Камчия, fortress,,42.91778,26.94000
 Крушето, fortress,,43.26556,25.69444
 Крън, fortress,,42.69306,25.38972
 Лесура, fortress,,43.45667,23.57167
 Любеново, fortress,,41.89889,25.74139
 Марково, fortress,,42.06194,24.70250
 Калето, fortress,,43.13972,23.70383
 Мраченик, fortress,,42.49806,24.97389
 Нова Черна, fortress,,44.00111,26.46583
